 Count,Member,Party,Column1
272,"Lloyd, Tony",Labour,#DC241f
271,"Ellis, Michael",Conservative,#0087DC
270,"Creagh, Mary",Labour,#DC241f
269,"Crouch, Tracey",Conservative,#0087DC
269,"Wilson, Sammy",Democratic Unionist Party,#D46A4C
269,"Dowden, Oliver",Conservative,#0087DC
267,"Prentis, Victoria",Conservative,#0087DC
264,"Rutley, David",Conservative,#0087DC
263,"Morris, Grahame",Labour,#DC241f
262,"Matheson, Christian",Labour,#DC241f
261,"Chope, Christopher",Conservative,#0087DC
261,"Masterton, Paul",Conservative,#0087DC
259,"Penrose, John",Conservative,#0087DC
258,"Dakin, Nic",Labour,#DC241f
258,"Selous, Andrew",Conservative,#0087DC
258,"Cameron, Lisa",Scottish National Party,#FEF987
257,"Martin, Sandy",Labour,#DC241f
255,"Ashworth, Jonathan",Labour (Co-op),#CC0000
255,"Huq, Rupa",Labour,#DC241f
254,"Moon, Madeleine",Labour,#DC241f
252,"Green, Damian",Conservative,#0087DC
252,"O'Hara, Brendan",Scottish National Party,#FEF987
251,"Wheeler, Heather",Conservative,#0087DC
251,"Woodcock, John",Independent,#DDDDDD
251,"Whately, Helen",Conservative,#0087DC
249,"Cable, Vince",Liberal Democrat,#FAA61A
249,"Howarth, George",Labour,#DC241f
249,"Jones, Marcus",Conservative,#0087DC
249,"Clark, Colin",Conservative,#0087DC
248,"McDonagh, Siobhain",Labour,#DC241f
248,"Wood, Mike",Labour,#DC241f
248,"O'Brien, Neil",Conservative,#0087DC
247,"Tugendhat, Tom",Conservative,#0087DC
247,"Heappey, James",Conservative,#0087DC
247,"Western, Matt",Labour,#DC241f
246,"Miller, Maria",Conservative,#0087DC
245,"Haigh, Louise",Labour,#DC241f
243,"Dodds, Anneliese",Labour (Co-op),#CC0000
243,"Hair, Kirstene",Conservative,#0087DC
242,"Eagle, Angela",Labour,#DC241f
242,"Villiers, Theresa",Conservative,#0087DC
242,"McDonald, Andy",Labour,#DC241f
242,"Thomson, Ross",Conservative,#0087DC
240,"De Cordova, Marsha",Labour,#DC241f
239,"Perkins, Toby",Labour,#DC241f
237,"Coaker, Vernon",Labour,#DC241f
237,"Cadbury, Ruth",Labour,#DC241f
236,"Hands, Greg",Conservative,#0087DC
236,"Braverman, Suella",Conservative,#0087DC
235,"Thornberry, Emily",Labour,#DC241f
235,"Scully, Paul",Conservative,#0087DC
234,"Bebb, Guto",Conservative,#0087DC
234,"Pennycook, Matthew",Labour,#DC241f
233,"Spellar, John",Labour,#DC241f
233,"Throup, Maggie",Conservative,#0087DC
233,"Amesbury, Mike",Labour,#DC241f
232,"Brown, Lyn",Labour,#DC241f
232,"Dodds, Nigel",Democratic Unionist Party,#D46A4C
232,"McMorrin, Anna",Labour,#DC241f
230,"Robinson, Gavin",Democratic Unionist Party,#D46A4C
230,"Norris, Alex",Labour (Co-op),#CC0000
228,"Efford, Clive",Labour,#DC241f
227,"Parish, Neil",Conservative,#0087DC
227,"Caulfield, Maria",Conservative,#0087DC
226,"Fabricant, Michael",Conservative,#0087DC
225,"Lucas, Ian C.",Labour,#DC241f
225,"Reeves, Ellie",Labour,#DC241f
224,"Amess, David",Conservative,#0087DC
224,"Smith, Henry",Conservative,#0087DC
224,"Stevens, Jo",Labour,#DC241f
224,"Day, Martyn",Scottish National Party,#FEF987
222,"Brabin, Tracy",Labour (Co-op),#CC0000
220,"Bridgen, Andrew",Conservative,#0087DC
220,"Gwynne, Andrew",Labour,#DC241f
220,"Maynard, Paul",Conservative,#0087DC
219,"Swire, Hugo",Conservative,#0087DC
